vetor pesos sinapticos original:
0.282815 0.044710 0.927000 0.613636 
0.541307 0.332133 0.128239 0.063662 
0.297250 0.943144 0.066683 0.709281 
0.651418 0.986297 0.684805 0.418806 
0.411237 0.301370 0.176580 0.970214 
0.663320 0.867367 0.388958 0.971465 
0.636891 0.336955 0.842555 0.923826 
0.139286 0.854915 0.902615 0.833583 
0.345347 0.815271 0.131596 0.279275 
0.221259 0.714499 0.355022 0.339915 
0.364483 0.756737 0.470717 0.290872 
0.541093 0.366955 0.534349 0.473739 
0.701437 0.268838 0.150761 0.246132 
0.755669 0.283120 0.703909 0.417737 
0.890286 0.503128 0.455397 0.079196 
0.706992 0.003265 0.043672 0.229621 
0.964843 0.737266 0.414960 0.109134 
0.207434 0.781701 0.716697 0.643056 
0.056063 0.581957 0.185492 0.903195 
0.449934 0.356120 0.560350 0.993439 
0.615070 0.313181 0.052431 0.264992 
0.042970 0.842402 0.402905 0.268471 
0.260353 0.329051 0.059725 0.347972 
0.670919 0.753960 0.004944 0.284310 
0.250832 0.731925 0.263619 0.893521 
0.379009 0.146275 0.625660 0.986053 
0.583239 0.035310 0.611621 0.594317 
0.483688 0.886654 0.214240 0.873531 
0.714927 0.996246 0.446303 0.582720 
0.107608 0.048280 0.226447 0.552263 
0.911435 0.571795 0.634358 0.043794 
0.339946 0.430342 0.065889 0.409101 
0.219245 0.001556 0.320414 0.953887 
0.021332 0.202094 0.150456 0.413068 
0.063356 0.014496 0.305979 0.943632 
0.154271 0.672597 0.603717 0.041078 
0.469955 0.160924 0.053255 0.286416 
0.938078 0.185247 0.571276 0.328867 
0.914060 0.269662 0.314249 0.011689 
0.429151 0.137242 0.162358 0.046541 
0.792230 0.029908 0.384411 0.143040 
0.826106 0.124119 0.015992 0.999573 
0.520157 0.698477 0.981750 0.061647 
0.379925 0.209387 0.492630 0.454390 
0.255409 0.931639 0.750603 0.994568 
0.929136 0.318949 0.490341 0.689413 
0.245003 0.742271 0.390698 0.627857 
0.059847 0.760613 0.886349 0.670553 
0.798090 0.581805 0.410901 0.845058 
0.891202 0.868740 0.603381 0.852229 
0.883572 0.547411 0.508225 0.590320 
0.485092 0.773644 0.301218 0.102878 
0.352824 0.713797 0.571673 0.856777 
0.881802 0.296304 0.692862 0.756157 
0.787378 0.590411 0.311167 0.799768 
0.759697 0.967711 0.486099 0.786248 
0.971465 0.703421 0.511490 0.975188 
0.720756 0.173376 0.949950 0.108951 
0.989715 0.302774 0.911161 0.702658 
0.200507 0.423200 0.105838 0.007355 
0.949919 0.194189 0.706229 0.553941 
0.003327 0.745506 0.544328 0.682699 
0.330454 0.696188 0.679495 0.966155 
0.462447 0.206946 0.866268 0.930021 
0.953215 0.722129 0.954009 0.979949 
0.225166 0.556963 0.749260 0.939024 
0.581103 0.987304 0.372326 0.103030 
0.663137 0.997162 0.639210 0.219825 
0.140629 0.340831 0.500198 0.298257 
0.907315 0.075930 0.066469 0.653859 
0.569781 0.222907 0.255593 0.096927 
0.508225 0.708182 0.587542 0.669454 
0.290475 0.246559 0.162481 0.837153 
0.721152 0.319468 0.351238 0.542772 
0.306345 0.904904 0.229926 0.027039 
0.416181 0.115848 0.290201 0.823511 
0.925291 0.403027 0.455794 0.833125 
0.613483 0.478317 0.937315 0.885678 
0.107181 0.615192 0.955809 0.693381 
0.643391 0.482315 0.867061 0.603473 
0.436659 0.166631 0.717307 0.055818 
0.931547 0.542192 0.761956 0.151952 
0.720450 0.640797 0.978362 0.241554 
0.409101 0.180944 0.103977 0.932890 
0.210334 0.911283 0.231452 0.433180 
0.547868 0.924589 0.490982 0.625477 
0.450758 0.598834 0.852565 0.787957 
0.020447 0.321604 0.578021 0.362163 
0.751305 0.653493 0.354961 0.676260 
0.985504 0.087710 0.643757 0.029481 
0.284524 0.061464 0.268197 0.044618 
0.997620 0.375317 0.782037 0.693747 
0.808557 0.677328 0.641865 0.904355 
0.542741 0.167821 0.718070 0.151799 
0.014740 0.180944 0.174688 0.944395 
0.198370 0.799524 0.250008 0.606952 
0.500320 0.159490 0.968383 0.269936 
0.418409 0.599841 0.315256 0.469588 
0.366039 0.314585 0.906369 0.265664 
0.943663 0.663015 0.681936 0.283090 
0.438917 0.794244 0.657979 0.583789 
0.836665 0.742576 0.265206 0.774529 
0.119724 0.649831 0.307169 0.257637 
0.142125 0.270821 0.068789 0.030427 
0.855831 0.418317 0.606525 0.939756 
0.171972 0.503586 0.751335 0.797693 
0.238685 0.829127 0.855983 0.265175 
0.415479 0.789422 0.817652 0.909177 
0.726676 0.636219 0.406995 0.339915 
0.074343 0.964415 0.435438 0.834651 
0.992523 0.575060 0.791314 0.353893 
0.223121 0.871517 0.876492 0.356487 
0.896176 0.444838 0.474776 0.319590 
0.594073 0.005249 0.583026 0.370434 
0.082369 0.315287 0.236427 0.935087 
0.987548 0.281167 0.859340 0.811487 
0.203284 0.858821 0.172369 0.572375 
0.306864 0.930326 0.187963 0.704520 
0.766167 0.807520 0.324534 0.390698 
0.218909 0.518784 0.171270 0.340220 
0.606006 0.535234 0.934690 0.574877 
0.438856 0.092410 0.097720 0.575823 
0.983306 0.764519 0.323374 0.698447 
0.640522 0.446120 0.133396 0.260750 
0.306528 0.398785 0.393811 0.212043 
0.991516 0.518418 0.138279 0.787713 
0.479965 0.479202 0.760643 0.056703 
0.313364 0.911191 0.107761 0.768059 
0.876186 0.266823 0.504105 0.402051 
0.866726 0.533860 0.239051 0.833003 
0.933897 0.449538 0.548692 0.509598 
0.761406 0.373333 0.622517 0.559038 
