vetor pesos sinapticos original:
0.053108,
0.053106,
0.053106,
0.053104,
0.053104,
0.053103,
0.053103,
0.053101,
0.053101,
0.053099,
0.053099,
0.053097,
0.053097,
0.053096,
0.053096,
0.053094,
0.053094,
0.053092,
0.053092,
0.053090,
0.053090,
0.053088,
0.053088,
0.053087,
0.053087,
0.053085,
0.053085,
0.053083,
0.053083,
0.053081,
0.053081,
0.053080,
0.053080,
0.053078,
0.053078,
0.053076,
0.053076,
0.053074,
0.053074,
0.053072,
0.053072,
0.053071,
0.053071,
0.053069,
0.053069,
0.053067,
0.053067,
0.053065,
0.053065,
0.053064,
0.053064,
0.053062,
0.053062,
0.053060,
0.053060,
0.053058,
0.053058,
0.053057,
0.053057,
0.053055,
0.053055,
0.053053,
0.053053,
0.053051,
0.053051,
0.053049,
0.053049,
0.053048,
0.053048,
0.053046,
0.053046,
0.053044,
0.053044,
0.053042,
0.053042,
0.053041,
0.053041,
0.053039,
0.053039,
0.053037,
0.053037,
0.053035,
0.053035,
0.053034,
0.053034,
0.053032,
0.053032,
0.053030,
0.053030,
0.053028,
0.053028,
0.053027,
0.053027,
0.053025,
0.053025,
0.053023,
0.053023,
0.053021,
0.053021,
0.053020,
0.053020,
0.053018,
0.053018,
0.053016,
0.053016,
0.053014,
0.053014,
0.053012,
0.053012,
0.053011,
0.053011,
0.053009,
0.053009,
0.053007,
0.053007,
0.053005,
0.053005,
0.053004,
0.053004,
0.053002,
0.053002,
0.053000,
0.053000,
0.052998,
0.052998,
0.052997,
0.052997,
0.052995,
0.052995,
0.052993,
0.052993,
0.052991,
0.052991,
0.052990,
0.052990,
0.052988,
0.052988,
0.052986,
0.052986,
0.052984,
0.052984,
0.052983,
0.052983,
0.052981,
0.052981,
0.052979,
0.052979,
0.052977,
0.052977,
0.052976,
0.052976,
0.052974,
0.052974,
0.052972,
0.052972,
0.052970,
0.052970,
0.052969,
0.052969,
0.052967,
0.052967,
0.052965,
0.052965,
0.052963,
0.052963,
0.052962,
0.052962,
0.052960,
0.052960,
0.052958,
0.052958,
0.052957,
0.052957,
0.052955,
0.052955,
0.052953,
0.052953,
0.052951,
0.052951,
0.052950,
0.052950,
0.052948,
0.052948,
0.052946,
0.052946,
0.052944,
0.052944,
0.052943,
0.052943,
0.052941,
0.052941,
0.052939,
0.052939,
0.052937,
0.052937,
0.052936,
0.052936,
0.052934,
0.052934,
0.052932,
0.052932,
0.052930,
0.052930,
0.052929,
0.052929,
0.052927,
0.052927,
0.052925,
0.052925,
0.052924,
0.052924,
0.052922,
0.052922,
0.052920,
0.052920,
0.052918,
0.052918,
0.052917,
0.052917,
0.052915,
0.052915,
0.052913,
0.052913,
0.052911,
0.052911,
0.052910,
0.052910,
0.052908,
0.052908,
0.052906,
0.052906,
0.052904,
0.052904,
0.052903,
0.052903,
0.052901,
0.052901,
0.052899,
0.052899,
0.052898,
0.052898,
0.052896,
0.052896,
0.052894,
0.052894,
0.052892,
0.052892,
0.052891,
0.052891,
0.052889,
0.052889,
0.052887,
0.052887,
0.052886,
0.052886,
0.052884,
0.052884,
0.052882,
0.052882,
0.052880,
0.052880,
0.052879,
0.052879,
0.052877,
0.052877,
0.052875,
0.052875,
0.052873,
0.052873,
0.052872,
0.052872,
0.052870,
0.052870,
0.052868,
0.052868,
0.052867,
0.052867,
0.052865,
0.052865,
0.052863,
0.052863,
0.052861,
0.052861,
0.052860,
0.052860,
0.052858,
0.052858,
0.052856,
0.052856,
0.052855,
0.052855,
0.052853,
0.052853,
0.052851,
0.052851,
0.052849,
0.052849,
0.052848,
0.052848,
0.052846,
0.052846,
0.052844,
0.052844,
0.052843,
0.052843,
0.052841,
0.052841,
0.052839,
0.052839,
0.052838,
0.052838,
0.052836,
0.052836,
0.052834,
0.052834,
0.052832,
0.052832,
0.052831,
0.052831,
0.052829,
0.052829,
0.052827,
0.052827,
0.052826,
0.052826,
0.052824,
0.052824,
0.052822,
0.052822,
0.052820,
0.052820,
0.052819,
0.052819,
0.052817,
0.052817,
0.052815,
0.052815,
0.052814,
0.052814,
0.052812,
0.052812,
0.052810,
0.052810,
0.052809,
0.052809,
0.052807,
0.052807,
0.052805,
0.052805,
0.052803,
0.052803,
0.052802,
0.052802,
0.052800,
0.052800,
0.052798,
0.052798,
0.052797,
0.052797,
0.052795,
0.052795,
0.052793,
0.052793,
0.052792,
0.052792,
0.052790,
0.052790,
0.052788,
0.052788,
0.052786,
0.052786,
0.052785,
0.052785,
0.052783,
0.052783,
0.052781,
0.052781,
0.052780,
0.052780,
0.052778,
0.052778,
0.052776,
0.052776,
0.052775,
0.052775,
0.052773,
0.052773,
0.052771,
0.052771,
0.052770,
0.052770,
0.052768,
0.052768,
0.052766,
0.052766,
0.052764,
0.052764,
0.052763,
0.052763,
0.052761,
0.052761,
0.052759,
0.052759,
0.052758,
0.052758,
0.052756,
0.052756,
0.052754,
0.052754,
0.052753,
0.052753,
0.052751,
0.052751,
0.052749,
0.052749,
0.052748,
0.052748,
0.052746,
0.052746,
0.052744,
0.052744,
0.052743,
0.052743,
0.052741,
0.052741,
0.052739,
0.052739,
0.052737,
0.052737,
0.052736,
0.052736,
0.052734,
0.052734,
0.052732,
0.052732,
0.052731,
0.052731,
0.052729,
0.052729,
0.052727,
0.052727,
0.052726,
0.052726,
0.052724,
0.052724,
0.052722,
0.052722,
0.052721,
0.052721,
0.052719,
0.052719,
0.052717,
0.052717,
0.052716,
0.052716,
0.052714,
0.052714,
0.052712,
0.052712,
0.052711,
0.052711,
0.052709,
0.052709,
0.052707,
0.052707,
0.052706,
0.052706,
0.052704,
0.052704,
0.052702,
0.052702,
0.052701,
0.052701,
0.052699,
0.052699,
0.052697,
0.052697,
0.052696,
0.052696,
0.052694,
0.052694,
0.052692,
0.052692,
0.052691,
0.052691,
0.052689,
0.052689,
0.052687,
0.052687,
0.052686,
0.052686,
0.052684,
0.052684,
0.052682,
0.052682,
0.052681,
0.052681,
0.052679,
0.052679,
0.052677,
0.052677,
0.052676,
0.052676,
0.052674,
0.052674,
0.052672,
0.052672,
0.052671,
0.052671,
0.052669,
0.052669,
0.052667,
0.052667,
0.052666,
0.052666,
0.052664,
0.052664,
0.052662,
0.052662,
0.052661,
0.052661,
0.052659,
0.052659,
0.052657,
0.052657,
0.052656,
0.052656,
0.052654,
0.052654,
0.052652,
0.052652,
0.052651,
0.052651,
0.052649,
0.052649,
0.052647,
0.052647,
0.052646,
0.052646,
0.052644,
0.052644,
0.052642,
0.052642,
0.052641,
0.052641,
0.052639,
0.052639,
0.052637,
0.052637,
0.052636,
0.052636,
0.052634,
0.052634,
0.052632,
0.052632,
0.052631,
0.052631,
0.052629,
0.052629,
0.052628,
0.052628,
0.052626,
0.052626,
0.052624,
0.052624,
0.052623,
0.052623,
0.052621,
0.052621,
0.052619,
0.052619,
0.052618,
0.052618,
0.052616,
0.052616,
0.052614,
0.052614,
0.052613,
0.052613,
0.052611,
0.052611,
0.052609,
0.052609,
0.052608,
0.052608,
0.052606,
0.052606,
0.052604,
0.052604,
0.052603,
0.052603,
0.052601,
0.052601,
0.052600,
0.052600,
0.052598,
0.052598,
0.052596,
0.052596,
0.052595,
0.052595,
0.052593,
0.052593,
0.052591,
0.052591,
0.052590,
0.052590,
0.052588,
0.052588,
0.052586,
0.052586,
0.052585,
0.052585,
0.052583,
0.052583,
0.052581,
0.052581,
0.052580,
0.052580,
0.052578,
0.052578,
0.052577,
0.052577,
0.052575,
0.052575,
0.052573,
0.052573,
0.052572,
0.052572,
0.052570,
0.052570,
0.052568,
0.052568,
0.052567,
0.052567,
0.052565,
0.052565,
0.052563,
0.052563,
0.052562,
0.052562,
0.052560,
0.052560,
0.052559,
0.052559,
0.052557,
0.052557,
0.052555,
0.052555,
0.052554,
0.052554,
0.052552,
0.052552,
0.052550,
0.052550,
0.052549,
0.052549,
0.052547,
0.052547,
0.052546,
0.052546,
0.052544,
0.052544,
0.052542,
0.052542,
0.052541,
0.052541,
0.052539,
0.052539,
0.052537,
0.052537,
0.052536,
0.052536,
0.052534,
0.052534,
0.052532,
0.052532,
0.052531,
0.052531,
0.052529,
0.052529,
0.052528,
0.052528,
0.052526,
0.052526,
0.052524,
0.052524,
0.052523,
0.052523,
0.052521,
0.052521,
0.052520,
0.052520,
0.052518,
0.052518,
0.052516,
0.052516,
0.052515,
0.052515,
0.052513,
0.052513,
0.052511,
0.052511,
0.052510,
0.052510,
0.052508,
0.052508,
0.052507,
0.052507,
0.052505,
0.052505,
0.052503,
0.052503,
0.052502,
0.052502,
0.052500,
0.052500,
0.052498,
0.052498,
0.052497,
0.052497,
0.052495,
0.052495,
0.052494,
0.052494,
0.052492,
0.052492,
0.052490,
0.052490,
0.052489,
0.052489,
0.052487,
0.052487,
0.052486,
0.052486,
0.052484,
0.052484,
0.052482,
0.052482,
0.052481,
0.052481,
0.052479,
0.052479,
0.052477,
0.052477,
0.052476,
0.052476,
0.052474,
0.052474,
0.052473,
0.052473,
0.052471,
0.052471,
0.052469,
0.052469,
0.052468,
0.052468,
0.052466,
0.052466,
0.052465,
0.052465,
0.052463,
0.052463,
0.052461,
0.052461,
0.052460,
0.052460,
0.052458,
0.052458,
0.052457,
0.052457,
0.052455,
0.052455,
0.052453,
0.052453,
0.052452,
0.052452,
0.052450,
0.052450,
0.052449,
0.052449,
0.052447,
0.052447,
0.052445,
0.052445,
0.052444,
0.052444,
0.052442,
0.052442,
0.052441,
0.052441,
0.052439,
0.052439,
0.052437,
0.052437,
0.052436,
0.052436,
0.052434,
0.052434,
0.052433,
0.052433,
0.052431,
0.052431,
0.052429,
0.052429,
0.052428,
0.052428,
0.052426,
0.052426,
0.052425,
0.052425,
0.052423,
0.052423,
0.052421,
0.052421,
0.052420,
0.052420,
0.052418,
0.052418,
0.052417,
0.052417,
0.052415,
0.052415,
0.052413,
0.052413,
0.052412,
0.052412,
0.052410,
0.052410,
0.052409,
0.052409,
0.052407,
0.052407,
0.052405,
0.052405,
0.052404,
0.052404,
0.052402,
0.052402,
0.052401,
0.052401,
0.052399,
0.052399,
0.052397,
0.052397,
0.052396,
0.052396,
0.052394,
0.052394,
0.052393,
0.052393,
0.052391,
0.052391,
0.052390,
0.052390,
0.052388,
0.052388,
0.052386,
0.052386,
0.052385,
0.052385,
0.052383,
0.052383,
0.052382,
0.052382,
0.052380,
0.052380,
