vetor pesos sinapticos original:
0.286294 0.525254 0.007965 0.316019 
0.558458 0.526322 0.452681 0.937010 
0.933561 0.376293 0.908719 0.756340 
0.298288 0.659688 0.388592 0.937895 
0.055940 0.981658 0.131993 0.097232 
0.856410 0.402753 0.426527 0.463851 
0.234535 0.148991 0.602557 0.521744 
0.812922 0.628498 0.107944 0.410047 
0.225288 0.286203 0.069369 0.864681 
0.417035 0.327586 0.245918 0.981841 
0.478683 0.842799 0.781701 0.585589 
0.669057 0.362407 0.663442 0.479812 
0.784051 0.376232 0.289529 0.366314 
0.527360 0.846004 0.056551 0.710196 
0.039369 0.243568 0.369640 0.333659 
0.240577 0.145848 0.982940 0.019715 
0.145665 0.917570 0.076266 0.906949 
0.804498 0.512955 0.974792 0.956114 
0.026429 0.928282 0.916868 0.270821 
0.544084 0.335551 0.777520 0.552812 
0.772454 0.429426 0.152898 0.472884 
0.820612 0.018159 0.712668 0.239601 
0.910978 0.389843 0.225715 0.146214 
0.863582 0.485458 0.166478 0.377422 
0.800562 0.409742 0.307199 0.857173 
0.727927 0.311136 0.202979 0.418653 
0.150365 0.162267 0.975616 0.077944 
0.375774 0.471877 0.302347 0.692312 
0.664937 0.459822 0.016327 0.784417 
0.883786 0.726157 0.224189 0.814081 
0.813440 0.945524 0.347789 0.678426 
0.774895 0.618305 0.995849 0.721610 
0.724387 0.409528 0.071993 0.035859 
0.475600 0.107212 0.025483 0.334605 
0.205176 0.730613 0.650563 0.179052 
0.897794 0.820490 0.340800 0.839930 
0.886563 0.442274 0.205267 0.574511 
0.145848 0.933134 0.951781 0.601825 
0.492080 0.924528 0.944090 0.555528 
0.348827 0.671529 0.339335 0.697104 
0.232856 0.219916 0.711722 0.669881 
0.617145 0.442396 0.068545 0.075228 
0.326853 0.475265 0.665578 0.652547 
0.124973 0.586688 0.526811 0.343547 
0.643605 0.007843 0.076357 0.023164 
0.317087 0.758415 0.787194 0.177282 
0.473586 0.996948 0.254097 0.309000 
0.240852 0.928587 0.596698 0.354930 
0.422864 0.800073 0.598682 0.892270 
0.003388 0.014191 0.489639 0.418226 
0.432630 0.894589 0.775781 0.482986 
0.353526 0.132054 0.025727 0.957366 
0.923643 0.443983 0.017579 0.216590 
0.388867 0.477676 0.153569 0.521195 
0.065737 0.489273 0.548601 0.376598 
0.387768 0.829218 0.698813 0.152318 
0.172613 0.765526 0.136448 0.742302 
0.766411 0.676412 0.977447 0.547319 
0.220985 0.143101 0.767571 0.561266 
0.160833 0.974425 0.534074 0.841762 
0.495437 0.694205 0.448103 0.147130 
0.633961 0.522782 0.005249 0.020508 
0.357738 0.384167 0.129582 0.102329 
0.007569 0.969329 0.107791 0.952879 
0.141514 0.387982 0.759850 0.165532 
0.319529 0.439009 0.751915 0.052644 
0.171697 0.031556 0.458571 0.684500 
0.405499 0.787866 0.279580 0.563372 
0.909085 0.358379 0.818384 0.713553 
0.606281 0.481918 0.827876 0.468459 
0.219886 0.320505 0.330332 0.736442 
0.599597 0.101138 0.817133 0.026307 
0.770226 0.595416 0.934904 0.013825 
0.357341 0.468245 0.564318 0.930570 
0.545701 0.027070 0.697653 0.556078 
0.227454 0.402661 0.021332 0.095126 
0.495865 0.692618 0.610065 0.720725 
0.140996 0.099399 0.638203 0.064455 
0.303812 0.593493 0.515305 0.435377 
0.944273 0.133091 0.351390 0.048647 
0.280679 0.972076 0.158971 0.045198 
0.855647 0.086642 0.697134 0.583605 
